profession_id,staff_id,subject_id
2,8013016,85229
2,8013017,85229
2,8013018,85229
2,8013019,85229
2,8013030,85229
2,8001025,90301
2,8001080,90301
2,8002008,90701
2,8001014,90702
2,8001022,90702
2,8001024,90702
2,8001059,90702
2,8001067,90702
2,8001003,90703
2,8001004,90703
2,8001019,90703
2,8001034,90703
2,8001037,90703
2,8001055,90703
2,8001081,90703
2,8001007,90704
2,8001027,90704
2,8001033,90704
2,8001046,90704
2,8001074,90704
2,8001079,90704
2,8001010,90900
2,8001050,90900
2,8001068,90900
2,8001016,95400
2,8001040,95400
2,8007009,120300
2,8007012,120300
2,8007004,120401
2,8014014,130500
2,8014025,130500
2,8014033,130500
2,8014010,135107
2,8014016,135107
2,8014025,135107
2,8014033,135107
2,8014004,135108
2,8014017,135108
2,8014022,135108
2,8014026,135108
2,8014027,135108
2,8014028,135108
3,8010005,10100
3,8010006,10100
3,8010015,10100
3,8010016,10100
3,8010035,10100
3,8007006,20200
3,8007008,20200
3,8007011,20200
3,8015003,30500
3,8015004,30500
3,8015014,30500
3,8010013,40200
3,8010014,40200
3,8010022,40200
3,8010025,40200
3,8011003,50200
3,8011021,50200
3,8011025,50200
3,8011029,50200
3,8011033,50200
3,8001006,70503
3,8001042,70503
3,8001045,70503
3,8001072,70503
3,8001073,70503
3,8002043,71001
3,8002056,71001
3,8002040,71002
3,8002013,71007
3,8002016,71010
3,8002042,71010
3,8001009,71300
3,8001063,71300
3,8003011,80201
3,8003030,80201
3,8003038,80201
3,8003042,80202
3,8003049,80202
3,8003051,80203
3,8003003,82901
3,8003004,82901
3,8003005,82901
3,8003024,82901
3,8003034,82901
3,8003039,82901
3,8005003,82902
3,8005013,82902
3,8005032,82902
3,8005033,82902
3,8005034,82902
3,8005040,82902
3,8005048,82902
3,8005051,82902
3,8005052,82902
3,8005053,82902
3,8005056,82902
3,8005057,82902
3,8005062,82902
3,8005011,82903
3,8005020,82903
3,8005024,82903
3,8005026,82903
3,8005035,82903
3,8005060,82903
3,8003027,0829Z3
3,8003052,0829Z3
3,8013005,83000
3,8013006,83000
3,8013007,83000
3,8013008,83000
3,8013009,83000
3,8013017,83000
3,8013018,83000
3,8013019,83000
3,8013028,83000
3,8013029,83000
3,8013030,83000
3,8013031,83000
3,8002035,83203
3,8013005,85229
3,8013007,85229
3,8013008,85229
3,8013009,85229
3,8013015,85229
3,8013017,85229
3,8013018,85229
3,8013019,85229
3,8013022,85229
3,8013028,85229
3,8001052,90301
3,8001054,90301
3,8001061,90301
3,8001065,90301
3,8001070,90301
3,8002008,90701
3,8002010,90701
3,8002020,90701
3,8002027,90701
3,8001014,90702
3,8001024,90702
3,8001030,90702
3,8001044,90702
3,8001048,90702
3,8001057,90702
3,8001059,90702
3,8001076,90702
3,8001003,90703
3,8001004,90703
3,8001019,90703
3,8001034,90703
3,8001038,90703
3,8001039,90703
3,8001047,90703
3,8001055,90703
3,8001081,90703
3,8001020,90704
3,8001033,90704
3,8001066,90704
3,8001079,90704
3,8001010,90900
3,8001041,90900
3,8001049,90900
3,8001077,90900
