uid,status,subject,professor,college,school,remarks,subject_re,college_re,school_re,remark_re,create_at,update_at,live_check_status,live_check_staff
181,2,0,0,0,0,,0,0,0,,2019/9/13 12:57,2019/9/13 12:57,13,
182,2,0,0,0,0,,0,0,0,,2019/9/13 13:04,2019/9/13 13:04,13,
183,-3,0,0,0,0,,0,0,0,,2019/9/13 13:29,2019/9/26 12:00,13,
184,2,0,0,0,0,,0,0,0,,2019/9/13 13:32,2019/9/13 13:32,13,
185,3,0,0,0,0,,0,0,0,,2019/9/13 13:38,2019/9/13 14:12,13,
186,2,0,0,0,0,,0,0,0,,2019/9/13 13:40,2019/9/13 13:40,13,
187,-3,0,0,0,0,,0,0,0,,2019/9/13 13:44,2019/9/25 23:27,13,
188,10,0,0,0,0,,0,0,0,,2019/9/13 13:46,2019/10/11 8:12,1,8007001
189,2,0,0,0,0,,0,0,0,,2019/9/13 13:54,2019/9/13 13:54,13,
190,2,0,0,0,0,,0,0,0,,2019/9/13 13:56,2019/9/13 13:56,13,
191,3,0,0,0,0,,0,0,0,,2019/9/13 14:04,2019/9/13 15:40,13,
192,3,0,0,0,0,,0,0,0,,2019/9/13 14:05,2019/9/13 14:36,13,
193,2,0,0,0,0,,0,0,0,,2019/9/13 14:07,2019/9/13 14:07,13,
194,2,0,0,0,0,,0,0,0,,2019/9/13 14:10,2019/9/13 14:10,13,
195,2,0,0,0,0,,0,0,0,,2019/9/13 14:47,2019/9/13 14:47,13,
196,6,0,0,0,0,,0,0,0,,2019/9/13 14:48,2019/9/24 15:31,13,
197,10,0,0,0,0,,0,0,0,,2019/9/13 14:56,2019/9/30 7:59,1,8014001
198,2,0,0,0,0,,0,0,0,,2019/9/13 15:08,2019/9/13 15:08,13,
199,2,0,0,0,0,,0,0,0,,2019/9/13 15:10,2019/9/13 15:10,13,
200,2,0,0,0,0,,0,0,0,,2019/9/13 15:11,2019/9/13 15:11,13,
201,2,0,0,0,0,,0,0,0,,2019/9/13 15:12,2019/9/13 15:12,13,
202,2,0,0,0,0,,0,0,0,,2019/9/13 15:16,2019/9/13 15:16,13,
203,7,0,0,0,0,,0,0,0,,2019/9/13 15:40,2019/9/27 19:19,1,8011036
