,uid,level,SSDM
876,548.0,2,32.0
877,791.0,2,32.0
878,251.0,9,31.0
879,254.0,2,22.0
880,323.0,2,22.0
881,269.0,1,32.0
882,305.0,1,32.0
883,813.0,1,32.0
884,271.0,2,34.0
885,411.0,2,34.0
886,272.0,1,50.0
887,274.0,1,61.0
888,276.0,2,54.0
889,277.0,1,12.0
890,284.0,1,12.0
891,416.0,1,12.0
892,435.0,1,12.0
893,513.0,1,12.0
894,773.0,1,12.0
895,1077.0,1,12.0
896,1123.0,1,12.0
897,278.0,1,23.0
898,336.0,1,23.0
899,464.0,1,23.0
900,547.0,1,23.0
901,575.0,1,23.0
902,1062.0,1,23.0
903,285.0,2,53.0
904,510.0,2,53.0
905,852.0,2,53.0
906,906.0,2,53.0
907,287.0,1,33.0
908,629.0,1,33.0
909,289.0,2,45.0
910,354.0,2,45.0
911,671.0,2,45.0
912,873.0,2,45.0
913,290.0,1,51.0
914,505.0,1,51.0
915,737.0,1,51.0
916,821.0,1,51.0
917,294.0,1,12.0
918,371.0,1,12.0
919,399.0,1,12.0
920,401.0,1,12.0
921,409.0,1,12.0
922,451.0,1,12.0
923,460.0,1,12.0
924,564.0,1,12.0
925,649.0,1,12.0
926,847.0,1,12.0
927,929.0,1,12.0
928,299.0,1,37.0
929,329.0,1,37.0
930,799.0,1,37.0
931,300.0,1,13.0
932,473.0,1,13.0
933,734.0,1,13.0
934,783.0,1,13.0
935,1148.0,1,13.0
936,303.0,1,21.0
937,358.0,1,21.0
938,562.0,1,21.0
939,1107.0,1,21.0
940,1159.0,1,21.0
941,319.0,2,11.0
942,330.0,1,22.0
943,803.0,1,22.0
944,331.0,1,14.0
945,370.0,1,14.0
946,532.0,1,14.0
947,580.0,1,14.0
948,785.0,1,14.0
949,1172.0,1,14.0
950,335.0,9,50.0
951,347.0,1,31.0
952,349.0,2,32.0
953,355.0,1,32.0
954,362.0,1,32.0
955,588.0,1,32.0
956,363.0,1,42.0
957,410.0,1,42.0
958,767.0,1,42.0
959,374.0,2,52.0
