,uid,honour
312,55.0,杰出贡献奖西南大学第一届花园建造节“杰出贡献奖”院级
313,56.0,nannannan
314,57.0,全国大学生英语竞赛三等奖省市级
315,57.0,国家奖学金nan国家级
316,57.0,国家励志奖学金nan国家级
317,57.0,甘肃农业大学三好学生nan校级
318,57.0,甘肃农业大学三号学生nan校级
319,57.0,优秀共青团员nan校级
320,57.0,三基知识竞赛一等奖校级
321,57.0,化学知识与技能竞赛一等奖校级
322,57.0,寒假社会实践作品甘肃农业大学大学生寒假社会实践作品 一等奖校级
323,57.0,林学院春季运动会跳远甘肃农业大学林学院春季运动会跳远 第三名院级
324,57.0,全国计算机等级考试全国计算机等级考试二级合格证书（MS office）国家级
325,57.0,“金啼林韵”三等奖甘肃农业大学林学院“金啼林韵”三等奖院级
326,57.0,林学院心理知识竞赛甘肃农业大学林学院心理知识竞赛二等奖院级
327,57.0,英语阅读竞赛甘肃农业大学英语阅读竞赛 三等奖校级
328,57.0,环保知识竞赛全国大学生环保知识竞赛优秀奖其他
329,57.0,教师资格证合格证初中化学教师资格证合格证其他
330,57.0,艾滋病知识竞赛全国大学生艾滋病知识竞赛优秀奖其他
331,57.0,英语阅读竞赛优秀奖甘肃农业大学阅读竞赛优秀奖校级
332,57.0,运动会跳远第一名甘肃农业大学林学院春季运动会跳远第一名院级
333,57.0,运动会跳远第二名甘肃农业大学林学院春季运动会跳远第二名院级
334,57.0,三基知识竞赛三等奖甘肃农业大学三基知识竞赛三等奖校级
335,57.0,三基知识竞赛团体奖甘肃农业大学三基知识竞赛团体二等奖校级
336,57.0,实验室知识竞赛甘肃农业大学实验室安全知识竞赛二等奖校级
337,58.0,西南大学奖学金2016-2017  校级三等奖学金校级
338,58.0,西南大学奖学金22017-2018 校级三等奖学金校级
339,58.0,园冶杯优秀志愿者第八届园冶杯国际竞赛评审会  优秀志愿者其他
340,58.0,“名品彩叶杯”“名品彩叶杯”彩叶花园设计竞赛 最佳创意奖 （主创）省市级
341,58.0,第十届园冶杯竞赛第十届园冶杯大学生国际竞赛 三等奖 （主创）国家级
342,60.0,国家励志奖学金nan国家级
343,60.0,优秀学生一等奖nan校级
344,60.0,优秀学生二等奖nan校级
345,61.0,nannannan
346,62.0,一等奖学金nan校级
347,62.0,第十六届“挑战杯”山nan校级
348,62.0,中房营奖学金nan院级
349,62.0,社会实践优秀学生nan省市级
350,62.0,第九届全国大学生“创nan校级
351,62.0,校一等奖学金nan校级
352,62.0,优秀学生干部nan校级
353,63.0,大学生英语竞赛二等奖nan国家级
354,63.0,光电设计创新创业银奖nan省市级
355,63.0,互联网+创新创业银奖nan省市级
356,63.0,大学生综合素质A级证nan省市级
357,63.0,BEC商务英语中级证书nan国家级
358,64.0,暑期社会实践积极分子在东北林业大学2018年暑期社会实践中表现优秀。校级
359,64.0,北林夏令营优秀营员在2019年北京林业大学优秀学生暑期夏令营中，得优秀营员荣誉称号。校级
360,65.0,“牵手”励学金荣获东北林业大学2017-2018学年度“牵手”励学金国家级
361,65.0,三好学生在2017-2018学年，因各方面表现突出，被授予校级“三好学生”荣誉称号校级
362,65.0,模范团干部在2017-2018学年度中，被评为“模范团干部”校级
363,65.0,优秀团员在2018-2019学年度中，被评为“优秀团员”校级
364,65.0,优秀读书笔记在林学院第一期“习近平新时代中国特色社会主义思想”学生骨干培训班中表现突出，荣获“优秀读书笔记”奖院级
365,65.0,优秀部员被评为2016-2017学年度学生会“优秀部员”院级
366,65.0,普通话等级二级甲等在普通话水平测试中，评定普通话等级为二级甲等国家级
367,66.0,校级三好学生nan校级
368,66.0,专业一等奖学金nan校级
369,66.0,国家励志奖学金nan校级
